职位名,公司名,工作地点,薪资,发布时间
Java开发工程师-深圳-00089,任子行网络技术股份有限公司,深圳-南山区,1-2万/月,05-19
Java工程师,深圳市雄帝科技股份有限公司,深圳-光明新区,0.8-1.6万/月,05-19
高级Java软件工程师,东蒲科技（深圳）有限公司,深圳,1-1.5万/月,05-19
Java高级开发工程师,深圳市壹平台信息技术有限公司,深圳-罗湖区,1.2-1.8万/月,05-19
资深Java开发工程师,深圳市维曼计算机有限公司,深圳-南山区,2-3万/月,05-19
Java开发工程师,深圳前海新华康互联网金融服务有限公司,深圳-龙岗区,1-1.5万/月,05-19
java工程师招聘,深圳怀新企业投资顾问股份有限公司,深圳,1-1.5万/月,05-19
高级Java工程师,深圳前海好工易网络科技有限公司,深圳-南山区,0.8-1.3万/月,05-19
Java开发工程师,和昌未来科技（深圳）有限公司,深圳-宝安区,0.9-1.2万/月,05-19
Java工程师(怡亚通项目-乙方),信必优(深圳)信息技术有限公司,深圳-福田区,1-1.5万/月,05-19
Java开发工程师/爬虫/采集,深圳市博览天下票务服务有限公司,深圳-罗湖区,0.8-1.5万/月,05-19
Java开发工程师,出彩国际文化传媒（深圳）有限公司,深圳-南山区,0.8-1.5万/月,05-19
Java高级开发工程师,广州华微明天软件技术有限公司,深圳-龙岗区,1.5-2万/月,05-19
Java高级开发工程师,深圳禹天无线科技有限公司,深圳-南山区,1-1.6万/月,05-19
java开发经理,深圳广霖物流有限公司,深圳-盐田区,15-25万/年,05-19
Java高级开发工程师,深圳市思考乐教育集团,深圳,1.5-3万/月,05-19
Java服务器开发工程师,深圳市天宇蓝科技有限公司,深圳,2-2.5万/月,05-19
Java Team Lead,深圳越海全球供应链有限公司,深圳-福田区,1.5-3万/月,05-19
Java开发工程师（金融行业）,上海新致软件股份有限公司,深圳,,05-19
Java中级开发工程师,深圳猴彩科技有限公司,深圳-南山区,1-2万/月,05-19
Java开发工程师,深圳小飞匣现代物流信息科技有限公司,深圳,0.8-1万/月,05-19
高级金融JAVA开发主管,深圳凯石信息科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
Java开发工程师,深圳市都市医药股份有限公司,深圳-宝安区,1.3-1.8万/月,05-19
Java服务器后端开发工程师(物联网),深圳市亿道控股有限公司,深圳,1-2万/月,05-19
JAVA游戏开发工程师,深圳市互彩通科技有限公司,深圳-龙华新区,1.5-2万/月,05-19
Java开发工程师,深圳市宜居云科技有限公司,深圳-宝安区,1-2万/月,05-19
Java开发工程师,深圳市吉粮商业管理有限公司,深圳-南山区,1-2万/月,05-19
java实习生(包住）,深圳市众智成电子商务有限公司,深圳-南山区,3-4.5千/月,05-19
Java开发工程师,深圳睿时尚文化创意有限公司,深圳-南山区,1.3-2万/月,05-19
java技术经理,南京烽火星空通信发展有限公司,深圳-福田区,2-3.5万/月,05-19
Java开发工程师,深圳市爱智慧科技有限公司,深圳-龙岗区,0.8-1.5万/月,05-19
Java开发工程师,深圳前海优财网络科技有限公司,深圳-福田区,1-1.5万/月,05-19
Java高级开发工程师,深圳迅创物联信息技术有限公司,深圳-龙华新区,1.5-2万/月,05-19
Java开发工程师,深圳市深飞互动科技有限公司,深圳-宝安区,0.8-1.2万/月,05-19
Java高级开发工程师,深圳市云宝聚合网络科技有限公司,深圳-南山区,1.5-3万/月,05-19
